NAME,CLUBS,ATWins,ATLosses,winRatio,poolWins,poolLosses,poolWinRatio,DEWins,DELosses,DEWinRatio
"
                    Kaitlyn Tan",Star Fencing Academy,995,288,77.6%,673,158,81.0%,322,130,71.2%
"
                    Ibtihaj Muhammad ",Peter Westbrook Foundation,-,-,-,-,-,-,-,-,-
"
                    Daniel McCarthy",The Phoenix Center,65,74,46.8%,46,56,45.1%,19,18,51.4%
"
                    Ismael Alberto Chavez Garcia",Wagner College NCAA,5,2,71.4%,4,1,80.0%,1,1,50.0%
"
                    Sally Gifford",DC Fencers Club,44,110,28.6%,33,88,27.3%,11,22,33.3%
"
                    Yasmany Diaz Hernandez","Fencing Sports Academy, Inc.",51,11,82.3%,36,5,87.8%,15,6,71.4%
"
                    Philip Pohl",Olympian Fencing Club,55,113,32.7%,46,91,33.6%,9,22,29.0%
"
                    TAN LE",Blacksburg Fencing Club / Virginia Tech Fencing Club,110,68,61.8%,81,49,62.3%,29,19,60.4%
"
                    Edoardo Filippo Mihai Perillo",Nova Fencing Club,10,13,43.5%,9,10,47.4%,1,3,25.0%
"
                    Erika Kovalchuk",New York Fencing Academy / New York Fencing Academy,203,187,52.1%,158,139,53.2%,45,48,48.4%
"
                    Sava Stanoev",Pittsburgh Fencers Club,49,16,75.4%,36,9,80.0%,13,7,65.0%
"
                    Karthik Shaji",Georgia Tech University Yellow Jacket Fencing Club / Rain City Fencing Center,270,158,63.1%,193,104,65.0%,77,54,58.8%
"
                    Dan Kellner ",Brooklyn Bridge Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Will Sigmon",Fencing Club At NC State,104,36,74.3%,72,22,76.6%,32,14,69.6%
"
                    Grace Feng",Tim Morehouse Fencing Club (Port Chester),635,300,67.9%,446,195,69.6%,189,105,64.3%
"
                    Vida Connolly",Advance Fencing And Fitness Academy,63,68,48.1%,49,55,47.1%,14,13,51.9%
"
                    Elizabeth Merritt",Rockville Fencing Academy,107,35,75.4%,77,17,81.9%,30,18,62.5%
"
                    Oleksii Muruhin",Silicon Valley Fencing Center,-,-,-,-,-,-,-,-,-
"
                    Andrew Popovici",Texas A&M University Fencing,75,44,63.0%,51,30,63.0%,24,14,63.2%
"
                    Jake Doan",RedStar Fencing Club Chicago,-,-,-,-,-,-,-,-,-
"
                    DYLAN YOON",East Coast Fencing Club,273,232,54.1%,208,171,54.9%,65,61,51.6%
"
                    Jackson Yue",Silicon Valley Fencing Center,300,405,42.6%,245,310,44.1%,55,95,36.7%
"
                    Abdelrahman Abdelgawad",Brooklyn Bridge Fencing Club / Salle De Long Fencers,249,231,51.9%,184,180,50.5%,65,51,56.0%
"
                    Nina Prihodko👸",Vivo Fencing Club,514,491,51.1%,405,365,52.6%,109,126,46.4%
"
                    Mahmoud Al-Nasser",Queen City Fencers Club LLC,30,5,85.7%,21,1,95.5%,9,4,69.2%
"
                    Michaela Joyce",University Of Notre Dame NCAA / Elite Fencing Academy (VA),498,103,82.9%,336,42,88.9%,162,61,72.6%
"
                    Tyler Lowe-Thorpe",Academy Of Fencing Masters (AFM),209,164,56.0%,160,121,56.9%,49,43,53.3%
"
                    Clarisse Tan",Pennsylvania State University NCAA,241,312,43.6%,200,238,45.7%,41,74,35.7%
"
                    Karen Lum",San Francisco Sabre School,59,98,37.6%,48,74,39.3%,11,24,31.4%
"
                    Anna Maksymenko","""A' La"" Fencing Instruction",13,4,76.5%,8,2,80.0%,5,2,71.4%
"
                    Steven Alban",Salisbury Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Michael McClain",Fencers Club Inc. / Peter Westbrook Foundation,-,-,-,-,-,-,-,-,-
"
                    Anton Prut",Apex Fencing Academy,89,88,50.3%,65,64,50.4%,24,24,50.0%
"
                    Emmet Kralicek",Fencing Academy Of Philadelphia,37,43,46.2%,28,33,45.9%,9,10,47.4%
"
                    Emil Dwityabaswara",NKY Fencing Academy (NKFA),31,49,38.8%,24,38,38.7%,7,11,38.9%
"
                    Korina Leou",Bergen Fencing Club,719,304,70.3%,487,197,71.2%,232,107,68.4%
"
                    Alexandra Nissinoff",V Fencing Club / V Fencing Club,759,377,66.8%,547,242,69.3%,212,135,61.1%
"
                    Kevin Son",University Of Texas Fencing Club at Austin,11,16,40.7%,7,12,36.8%,4,4,50.0%
"
                    Meha Datla",Apex Fencing Academy,136,256,34.7%,108,203,34.7%,28,53,34.6%
"
                    Yurii Dzhus",Maximum Fencing Club,16,4,80.0%,10,2,83.3%,6,2,75.0%
"
                    Brad Cao",DC Fencers Club / DC Fencers Club,480,403,54.4%,365,295,55.3%,115,108,51.6%
"
                    Jessica Niu",Integrity Fencing Studio,205,144,58.7%,163,96,62.9%,42,48,46.7%
"
                    Caleb Brutus",RedStar Fencing Club Chicago / Northwest Indiana Fencing Club,87,58,60.0%,67,40,62.6%,20,18,52.6%
"
                    Thomas Burket",Orion Fencing,20,28,41.7%,12,21,36.4%,8,7,53.3%
"
                    Rachel Koo",Gutkovskiy Fencing Academy / Duke University Fencing NCAA,367,163,69.2%,271,105,72.1%,96,58,62.3%
"
                    Aaron Beaver",Rain City Fencing Center / Kaizen Academy LLC,261,428,37.9%,209,339,38.1%,52,89,36.9%
"
                    Chaney Gao",Swords Fencing Studio,425,289,59.5%,300,207,59.2%,125,82,60.4%
"
                    Dominic Cerchia",The Phoenix Center,32,14,69.6%,21,8,72.4%,11,6,64.7%
"
                    Johnathan Tibbetts",Denver Fencing Center,42,51,45.2%,33,38,46.5%,9,13,40.9%
"
                    Nicholas Lennon",Fencing Academy Of Philadelphia,35,40,46.7%,26,30,46.4%,9,10,47.4%
"
                    Christopher McKinney",Boston Fencing Club,4,3,57.1%,3,2,60.0%,1,1,50.0%
"
                    Jason B. Park",Gutkovskiy Fencing Academy,96,69,58.2%,71,52,57.7%,25,17,59.5%
"
                    Terre Engdahl",Denver Fencing Center,34,37,47.9%,27,28,49.1%,7,9,43.8%
"
                    Nikhil Hotha",Nazlymov Fencing Foundation,201,213,48.6%,153,164,48.3%,48,49,49.5%
"
                    Michael (Jiayuan) Zhang",PDX Fencing,154,163,48.6%,114,123,48.1%,40,40,50.0%
"
                    Ethan Guo",San Diego Fencing Center,77,110,41.2%,59,87,40.4%,18,23,43.9%
"
                    Lori Radich",Hangtown Saber Club / The Fencing Center,89,168,34.6%,74,131,36.1%,15,37,28.8%
"
                    Benjamin O'Donnell",Windy City Fencing-Chicago,318,272,53.9%,244,197,55.3%,74,75,49.7%
"
                    Roland Zhang👀🤏",Cavalier Fencing Club,174,386,31.1%,140,308,31.2%,34,78,30.4%
"
                    Will Attig",University Of Notre Dame NCAA / Oregon Fencing Alliance,159,92,63.3%,120,61,66.3%,39,31,55.7%
"
                    Nicholas Wu",University Of Pennsylvania NCAA,266,172,60.7%,205,124,62.3%,61,48,56.0%
"
                    Reem Siddiqui",Renaissance Fencing Club,128,98,56.6%,94,71,57.0%,34,27,55.7%
"
                    Adeline Senic",Renaissance Fencing Club,1155,367,75.9%,783,226,77.6%,372,141,72.5%
"
                    Veronika Shick",Bucks County Academy Of Fencing - West,18,21,46.2%,16,16,50.0%,2,5,28.6%
"
                    Ethan Chen",Tim Morehouse Fencing Club (Port Chester),421,251,62.6%,308,170,64.4%,113,81,58.2%
"
                    Kyran Lin",Fortune Fencing / Fortune Fencing,605,269,69.2%,436,173,71.6%,169,96,63.8%
"
                    Jeanette Strumillo",Sacramento Saber Fencing LLC,3,3,50.0%,2,2,50.0%,1,1,50.0%
"
                    Graham Wicas",Fencing Academy Of Philadelphia,14,3,82.4%,9,2,81.8%,5,1,83.3%
"
                    Michael Stefanov",Forte Fencing Club,32,84,27.6%,29,66,30.5%,3,18,14.3%
"
                    Carlos Toledo",Southern California Fencing Academy (SOCALFA),39,30,56.5%,28,21,57.1%,11,9,55.0%
"
                    Connor Harrington",Alle Fencing Club,72,85,45.9%,60,63,48.8%,12,22,35.3%
"
                    Sebastien Buisine",Rogue Fencing Academy / The Phoenix Center,15,34,30.6%,13,28,31.7%,2,6,25.0%
"
                    Karthik Shankar",Capital Fencing Academy,92,180,33.8%,79,147,35.0%,13,33,28.3%
"
                    Kevin Obrebski",Olympian Fencing Club,105,221,32.2%,81,174,31.8%,24,47,33.8%
"
                    Xueyuan George Jin",Space City Fencing Academy,71,66,51.8%,61,46,57.0%,10,20,33.3%
"
                    Anton Usdin",Penta Olympic Fencing Club,137,141,49.3%,110,103,51.6%,27,38,41.5%
"
                    Cristina Gordet",South Florida Fencing Club,245,193,55.9%,173,140,55.3%,72,53,57.6%
"
                    Kevin Powell",Red Door Fencing,-,-,-,-,-,-,-,-,-
"
                    Anton Piskovatskov",Alliance Fencing Academy / Alliance Fencing Academy,124,67,64.9%,101,47,68.2%,23,20,53.5%
"
                    Terry Amrine",Columbus Fencing And Fitness LLC / Royal Arts Fencing Academy,74,57,56.5%,59,38,60.8%,15,19,44.1%
"
                    Matt Wilbert",Moe Fencing Club LLC,111,144,43.5%,88,109,44.7%,23,35,39.7%
"
                    Eric Novey",University of Maryland Terrapin Fencing,9,7,56.2%,7,5,58.3%,2,2,50.0%
"
                    Sophia Balskus",Sword In The Scroll Fencing Academy,86,74,53.8%,63,55,53.4%,23,19,54.8%
"
                    Sophia Shen",Star Fencing Academy,578,252,69.6%,410,158,72.2%,168,94,64.1%
"
                    Evita Shein",Rogue Fencing Academy,37,121,23.4%,32,102,23.9%,5,19,20.8%
"
                    Humberto Munoz",No Fear Fencing / Fortune Fencing,65,60,52.0%,47,43,52.2%,18,17,51.4%
"
                    Zachory Powell",Manchen Academy Of Fencing,47,29,61.8%,34,21,61.8%,13,8,61.9%
"
                    Yonatan Ivron",Masters Fencing Academy NJ,16,45,26.2%,13,36,26.5%,3,9,25.0%
"
                    Analise McKenna",Escrime Du Lac / Schoolhouse Fencing,135,321,29.6%,114,261,30.4%,21,60,25.9%
"
                    Trisha Balakrishnan",Alliance Fencing Academy,265,231,53.4%,199,167,54.4%,66,64,50.8%
"
                    Hector Florencia",Frisco Fencing Academy,12,5,70.6%,9,3,75.0%,3,2,60.0%
"
                    Cole Hernandez",Olympian Fencing Club,104,145,41.8%,84,111,43.1%,20,34,37.0%
"
                    Lawrence Trifiletti",Denver Fencing Center,84,101,45.4%,73,73,50.0%,11,28,28.2%
"
                    Tyler Hudson",University of North Carolina Charlotte Fencing Club,9,13,40.9%,5,10,33.3%,4,3,57.1%
"
                    Brenna Behensky",Drew University NCAA,41,36,53.2%,34,25,57.6%,7,11,38.9%
"
                    Paxon Elyaderani",Hooked On Fencing,289,124,70.0%,203,82,71.2%,86,42,67.2%
"
                    Adele Bois",Northwestern University NCAA / Fencers Club Inc.,485,230,67.8%,353,150,70.2%,132,80,62.3%
"
                    Douglas Powers",Salle Auriol Seattle,179,178,50.1%,139,129,51.9%,40,49,44.9%
"
                    Ava Hobson",Massialas Foundation (M Team),386,450,46.2%,317,337,48.5%,69,113,37.9%
"
                    Aaron Chew",Fort Bend Fencing Academy,118,133,47.0%,93,99,48.4%,25,34,42.4%
"
                    Samuel Meggers",Penta Olympic Fencing Club,31,83,27.2%,27,66,29.0%,4,17,19.0%
"
                    Anastasiia Kudierova",New York Fencing Academy,38,35,52.1%,28,26,51.9%,10,9,52.6%
"
                    Taylor Chon",Globus Fencing Academy,577,215,72.9%,384,132,74.4%,193,83,69.9%
"
                    Jonathan Tiomkin ",5T Fencers Club,-,-,-,-,-,-,-,-,-
"
                    Serene Zhu",ASER International Fencing Academy,591,385,60.6%,432,267,61.8%,159,118,57.4%
"
                    Isaac Ariza",Masters Fencing Club / Ohio University Fencing Club,217,83,72.3%,150,52,74.3%,67,31,68.4%
"
                    Chinli Ong",Cobra Fencing Club LLC,69,149,31.7%,56,120,31.8%,13,29,31.0%
"
                    Rahm Fishman",Penta Olympic Fencing Club,192,114,62.7%,137,77,64.0%,55,37,59.8%
"
                    Sarah Lurye",Windy City Fencing-Chicago / Duke University Fencing NCAA,174,96,64.4%,135,67,66.8%,39,29,57.4%
"
                    Kate Sierra",Atlantic Fencing Academy,188,114,62.3%,136,83,62.1%,52,31,62.7%
"
                    Elizabeth Brandwein",North Shore Fencers Club / Peter Westbrook Foundation,45,61,42.5%,37,49,43.0%,8,12,40.0%
"
                    John Atkins",PDX Fencing,-,-,-,-,-,-,-,-,-
"
                    Tim Kane",The Phoenix Center,67,89,42.9%,50,68,42.4%,17,21,44.7%
"
                    Alexia Anthony",Peter Westbrook Foundation / Peter Westbrook Foundation,523,267,66.2%,363,176,67.3%,160,91,63.7%
"
                    Philip Tangel",Cleveland Fencing Academy East LLC,5,11,31.2%,3,9,25.0%,2,2,50.0%
"
                    Justin Liu",Massialas Foundation (M Team) / Harvard University NCAA,270,73,78.7%,188,36,83.9%,82,37,68.9%
"
                    Matthew Simmons",Epee Miami Fencing Club,104,106,49.5%,79,79,50.0%,25,27,48.1%
"
                    Jeffrey Ozanne",Twin Cities Fencing Club,42,54,43.8%,35,40,46.7%,7,14,33.3%
"
                    Jane Carter",Marx Fencing Academy / Tanner City Fencers Club,205,33,86.1%,135,18,88.2%,70,15,82.4%
"
                    Judy Park",Olympic Fencers Club,218,147,59.7%,157,107,59.5%,61,40,60.4%
"
                    Kyung Seol",University Of Florida Fencing Club,115,47,71.0%,90,26,77.6%,25,21,54.3%
"
                    Dylan Ong",Zeta Fencing,171,161,51.5%,134,118,53.2%,37,43,46.2%
"
                    Connor Dempsey",University Of Calif/Santa Barbara (UCSB) / Presidio Fencing Club,18,17,51.4%,14,12,53.8%,4,5,44.4%
"
                    Christopher Gaither",Woodlands International Fencing Club,219,205,51.7%,163,151,51.9%,56,54,50.9%
"
                    Arren Asuncion",Modern Duelists Fencing Academy,31,23,57.4%,22,17,56.4%,9,6,60.0%
"
                    Maciej (Coach Magic) Czyzowicz",Rocky Mountain Fencing Academy / Denver Fencing Center,10,4,71.4%,6,2,75.0%,4,2,66.7%
"
                    Reynaldo Lopez",Heartland Fencing Academy,-,-,-,-,-,-,-,-,-
"
                    Kevin Walsh",Denver Fencing Center / South Denver Fencing Academy,236,133,64.0%,162,95,63.0%,74,38,66.1%
"
                    Aaron Castle",Twin Cities Fencing Club,96,59,61.9%,73,42,63.5%,23,17,57.5%
"
                    VAHAN NALBANDIAN",Swords Fencing Studio,57,103,35.6%,49,85,36.6%,8,18,30.8%
"
                    Joel Butler",NKY Fencing Academy (NKFA),59,76,43.7%,48,59,44.9%,11,17,39.3%
"
                    Alexander Ryan Silva",Saint Louis Fencing Club / Top Fencing Club,12,9,57.1%,9,7,56.2%,3,2,60.0%
"
                    Jett Li",Golden State Fencing Academy,302,317,48.8%,247,237,51.0%,55,80,40.7%
"
                    Sophia Elston",Plymouth/Ann Arbor Fencing Academy,448,278,61.7%,319,202,61.2%,129,76,62.9%
"
                    Austin Maxwell",Foothills Fencing Academy,95,76,55.6%,75,55,57.7%,20,21,48.8%
"
                    Nicholas Samaha",Lang Fencing Academy,46,40,53.5%,35,28,55.6%,11,12,47.8%
"
                    Adam Demaree",University Of Tennessee Knoxville Fencing Club,45,33,57.7%,32,25,56.1%,13,8,61.9%
"
                    smira bavipati",Bay Area Fencing Club,66,116,36.3%,55,90,37.9%,11,26,29.7%
"
                    Aaron Zhang",LA International Fencing / Orange County Fencing Center,720,371,66.0%,528,243,68.5%,192,128,60.0%
"
                    Eleanor Li",Tim Morehouse Fencing Club (Port Chester),457,394,53.7%,358,282,55.9%,99,112,46.9%
"
                    Justin Roberts",Fencers Club Inc. / Peter Westbrook Foundation,58,49,54.2%,47,36,56.6%,11,13,45.8%
"
                    Sophie Chen",Mission Fencing Center,226,385,37.0%,185,301,38.1%,41,84,32.8%
"
                    Rachael Kim",Top Fencing Club,611,269,69.4%,422,170,71.3%,189,99,65.6%
"
                    Matthew Blam",South Coast Fencing Center,90,142,38.8%,63,115,35.4%,27,27,50.0%
"
                    Ihnat Buikevich",Lilov Fencing Academy,111,89,55.5%,84,63,57.1%,27,26,50.9%
"
                    Andrew O'Dowd",Fencing Academy Of Philadelphia,134,66,67.0%,100,41,70.9%,34,25,57.6%
"
                    Ravin Singh",ASER International Fencing Academy,446,337,57.0%,335,237,58.6%,111,100,52.6%
"
                    Noelle Zoller",Fencing Academy Of Denver,293,357,45.1%,222,271,45.0%,71,86,45.2%
"
                    Theodore Fechtmeyer",Twin Cities Fencing Club / Youth Enrichment League Fencing Club,46,83,35.7%,33,67,33.0%,13,16,44.8%
"
                    Maxon (John Maxon) Crumb",Salle Auriol Seattle,7,1,87.5%,3,1,75.0%,4,-,100.0%
"
                    Batu Odbadrakh",University Of Tennessee Knoxville Fencing Club,38,12,76.0%,27,6,81.8%,11,6,64.7%
"
                    Lauren Lee",San Diego Fencing Center,222,208,51.6%,166,159,51.1%,56,49,53.3%
"
                    Milan Mishra",Twin Cities Fencing Club,82,108,43.2%,68,85,44.4%,14,23,37.8%
"
                    Bill Lam",ASER International Fencing Academy,75,159,32.1%,69,124,35.8%,6,35,14.6%
"
                    Oliver Repic",Medeo Fencing Club,147,249,37.1%,115,196,37.0%,32,53,37.6%
"
                    Eva kumar",Medeo Fencing Club,521,351,59.7%,396,245,61.8%,125,106,54.1%
"
                    Michael Lipton",East Bay Fencers Gym / Halberstadt Fencers' Club,160,312,33.9%,136,246,35.6%,24,66,26.7%
"
                    Lonnie James",City of Thunder FC,36,30,54.5%,29,22,56.9%,7,8,46.7%
"
                    Adam Lake",Eugene Fencers Club,13,3,81.2%,10,1,90.9%,3,2,60.0%
"
                    Jose Rolon",Middle Tennessee State University Fencing Club,26,17,60.5%,18,11,62.1%,8,6,57.1%
"
                    Max Poirot",Fencing Academy Of Philadelphia,51,140,26.7%,44,115,27.7%,7,25,21.9%
"
                    Lori Schmidt",Olympia Fencing Center,151,105,59.0%,115,77,59.9%,36,28,56.2%
"
                    Scott Grossman",Torrance Fencing Club,2,4,33.3%,1,3,25.0%,1,1,50.0%
"
                    Brian Stone",Two Ravens Fencing School,24,9,72.7%,15,7,68.2%,9,2,81.8%
"
                    Sebastian Elwood",Epic Fencing Club / Fencers Club Inc.,608,293,67.5%,425,192,68.9%,183,101,64.4%
"
                    Macy Franger",Escrime Du Lac,276,126,68.7%,183,84,68.5%,93,42,68.9%
"
                    Gerardo Flores",Halberstadt Fencers' Club,61,24,71.8%,44,14,75.9%,17,10,63.0%
"
                    Holly Buechel",Tim Morehouse Fencing Club (Connecticut),22,7,75.9%,14,4,77.8%,8,3,72.7%
"
                    Zhaocheng Qiu",Prime Fencing Academy,88,70,55.7%,65,54,54.6%,23,16,59.0%
"
                    Benjamin Celjo",Phoenix Falcons Fencing Club,23,32,41.8%,18,25,41.9%,5,7,41.7%
"
                    Nikita Basok",Fencing Academy Of Westchester,275,256,51.8%,221,186,54.3%,54,70,43.5%
"
                    Jacob Honz",Salle Auriol Seattle,103,28,78.6%,74,14,84.1%,29,14,67.4%
"
                    Shun Yao",True Focus Sports Academy,144,149,49.1%,105,118,47.1%,39,31,55.7%
"
                    Elizabeth Kent",Rocky Mountain Fencing Academy / Denver Fencing Center,371,344,51.9%,274,261,51.2%,97,83,53.9%
"
                    Alex Chterental",Dynamo Fencing Center Inc.,431,253,63.0%,311,174,64.1%,120,79,60.3%
"
                    BIAYA TIYA",Atlanta Fencers Club Foundation Inc. / Lotus Fencing Academy,843,277,75.3%,559,167,77.0%,284,110,72.1%
"
                    linze li",LA Fencing Academy of Pomona,348,188,64.9%,249,126,66.4%,99,62,61.5%
"
                    Andersen Han",Metro Tacoma Fencing Club,211,210,50.1%,162,164,49.7%,49,46,51.6%
"
                    Cameron Bermender",North Bay Fencing Academy,165,76,68.5%,117,55,68.0%,48,21,69.6%
"
                    Scott Tulleners",Hudson Centers For The Martial Arts / Hudson Centers For The Martial Arts,9,4,69.2%,7,2,77.8%,2,2,50.0%
"
                    Emily DONG",Charlotte Fencing Academy / Research Triangle Fencing,159,218,42.2%,123,168,42.3%,36,50,41.9%
"
                    Theresa Stoodley",Lincoln Square Fencing,26,35,42.6%,19,28,40.4%,7,7,50.0%
"
                    Douglas Miller",RedStar Fencing Club Chicago,58,33,63.7%,50,21,70.4%,8,12,40.0%
"
                    Eugene Bae",Precision Athletics Fencing Club,188,192,49.5%,153,145,51.3%,35,47,42.7%
"
                    Jay Wendell",Seacoast Fencing Club,4,22,15.4%,4,20,16.7%,-,2,0.0%
"
                    Lake Mawu Sheffield",Peter Westbrook Foundation / Fencers Club Inc.,92,41,69.2%,62,27,69.7%,30,14,68.2%
"
                    Pablo Giraldo",Orange County International Fencers Club,332,227,59.4%,260,160,61.9%,72,67,51.8%
"
                    Troy Powell",Fencers Club Inc.,11,20,35.5%,11,15,42.3%,-,5,0.0%
"
                    Jason Mighell",Denver Fencing Center / Mile High Fencing Club,103,102,50.2%,77,76,50.3%,26,26,50.0%
"
                    Runlin Gui",Olympia Fencing Center,170,177,49.0%,131,135,49.2%,39,42,48.1%
"
                    Juliana Hung",Northwestern University NCAA / Golden State Fencing Academy,286,133,68.3%,203,89,69.5%,83,44,65.4%
"
                    Robin Hu",New Jersey Fencing Alliance,113,134,45.7%,92,104,46.9%,21,30,41.2%
"
                    Finn Buchmann",Scarsdale Fencing Center,204,133,60.5%,148,93,61.4%,56,40,58.3%
"
                    Henry Hermes",College of William & Mary Fencing Club,54,37,59.3%,39,25,60.9%,15,12,55.6%
"
                    Ken Uemoto",Durkan Fencing Academy,66,64,50.8%,48,49,49.5%,18,15,54.5%
"
                    Valerie Hutchinson",Denver Fencing Center,172,137,55.7%,127,95,57.2%,45,42,51.7%
"
                    Zachary Hicks",Davis Fencing Academy / University of California Davis,29,36,44.6%,23,27,46.0%,6,9,40.0%
"
                    Melissa Kline",US Air Force Academy NCAA University / Heartland Fencing Academy,234,149,61.1%,171,107,61.5%,63,42,60.0%
"
                    Cole Sturgeon",Oregon Fencing Alliance,138,121,53.3%,102,90,53.1%,36,31,53.7%
"
                    Naveen Jimenez",Fencing Academy Of Westchester,157,96,62.1%,118,66,64.1%,39,30,56.5%
"
                    Dinghao Zhang",Cavalier Fencing Club,49,45,52.1%,38,32,54.3%,11,13,45.8%
"
                    Geoffrey Landis",On Target Fencing Team,81,237,25.5%,71,188,27.4%,10,49,16.9%
"
                    Aden Soto-Ulev",Massialas Foundation (M Team),576,280,67.3%,413,177,70.0%,163,103,61.3%
"
                    Max Herman",Gryphon Fencing,20,13,60.6%,13,9,59.1%,7,4,63.6%
"
                    Eileen Foley",Denver Fencing Center,118,65,64.5%,87,42,67.4%,31,23,57.4%
"
                    Aerin Presman",New York Fencing Academy,404,236,63.1%,296,158,65.2%,108,78,58.1%
"
                    Thomas Claes",Academy Of Fencing Masters (AFM),218,92,70.3%,148,60,71.2%,70,32,68.6%
"
                    Ivy Zhao",Penta Olympic Fencing Club,163,135,54.7%,124,97,56.1%,39,38,50.6%
"
                    Zachary Binder",East Coast Fencing Club / Columbia University NCAA,322,112,74.2%,235,64,78.6%,87,48,64.4%
"
                    Alexia Kim",Laguna Fencing Center / Laguna Fencing Center,54,74,42.2%,37,56,39.8%,17,18,48.6%
"
                    Nicole Polanichka",Lancaster Fencing Academy / DC Fencers Club,391,172,69.4%,278,118,70.2%,113,54,67.7%
"
                    Adrien Autrey",Oregon Fencing Alliance,120,207,36.7%,96,162,37.2%,24,45,34.8%
"
                    Sama Abuelfutuh",Kaizen Academy LLC,343,149,69.7%,242,98,71.2%,101,51,66.4%
"
                    Kylin Broderick",Shoreline Fencers Club,51,14,78.5%,38,8,82.6%,13,6,68.4%
"
                    King-Yee Wong",Wanglei International Fencing Club / Wanglei International Fencing Club,161,212,43.2%,123,165,42.7%,38,47,44.7%
"
                    Simon Lioznyansky",Alliance Fencing Academy,506,290,63.6%,374,201,65.0%,132,89,59.7%
"
                    Daniel Kim",Olympic Fencers Club,29,9,76.3%,20,7,74.1%,9,2,81.8%
"
                    Sedna Gandhi",University Of Notre Dame NCAA,346,123,73.8%,248,75,76.8%,98,48,67.1%
"
                    Xinlai Tan",Twin Cities Fencing Club / Youth Enrichment League Fencing Club,89,39,69.5%,64,24,72.7%,25,15,62.5%
"
                    Gabriel McCarthy",Tim Morehouse Fencing Club,968,586,62.3%,700,406,63.3%,268,180,59.8%
"
                    Kevin Lima",University Of North Carolina/Chapel Hill NCAA / Research Triangle Fencing,164,88,65.1%,113,61,64.9%,51,27,65.4%
"
                    Michael Hilmer",Columbia University NCAA / Fencers School Of Connecticut,61,87,41.2%,45,69,39.5%,16,18,47.1%
"
                    Rainie Yao",Southern California Fencing Academy (SOCALFA),284,326,46.6%,225,248,47.6%,59,78,43.1%
"
                    Auprell Edwards",Alliance Fencing Academy / Elite Fencing Academy (GA),291,129,69.3%,206,84,71.0%,85,45,65.4%
"
                    Sophia Zhou",Moe Fencing Club LLC,156,307,33.7%,130,237,35.4%,26,70,27.1%
"
                    Gabriel Magidson",East Coast Fencing Club,287,164,63.6%,218,110,66.5%,69,54,56.1%
"
                    Charles Bing",Star Fencing Academy,772,410,65.3%,576,273,67.8%,196,137,58.9%
"
                    Trenton Schmitt",Columbia University NCAA / Premier Fencing Academy,146,53,73.4%,100,32,75.8%,46,21,68.7%
"
                    Ryan Baldi",Hills Fencing Institute (H3) / Hills Fencing Institute (H3),16,10,61.5%,13,7,65.0%,3,3,50.0%
"
                    Zoe Chou",Fencing Club Of Mercer County,85,82,50.9%,69,61,53.1%,16,21,43.2%
"
                    Adam Storkel",Boise Fencing Club / Boise Fencing Club,12,21,36.4%,8,16,33.3%,4,5,44.4%
"
                    Lyla Read",Twin Cities Fencing Club / SEMN Youth Enrichment League,172,216,44.3%,131,162,44.7%,41,54,43.2%
"
                    Oleg Rusanov",Royal Fencing Academy,119,174,40.6%,94,132,41.6%,25,42,37.3%
"
                    Lucas Pivovarov",East Bay Fencers Gym,53,33,61.6%,43,22,66.2%,10,11,47.6%
"
                    Chad Kokenge",Medeo Fencing Club,52,115,31.1%,45,90,33.3%,7,25,21.9%
"
                    Sally Hoagland",Olympia Fencing Center / Olympia Fencing Center,127,268,32.2%,101,216,31.9%,26,52,33.3%
"
                    Victoria Wines",The Phoenix Center,15,2,88.2%,9,1,90.0%,6,1,85.7%
"
                    Doug Thistlethwaite",No Fear Fencing,2,4,33.3%,2,3,40.0%,-,1,0.0%
"
                    Kelly Dewsnup",Oregon Fencing Alliance,40,26,60.6%,28,19,59.6%,12,7,63.2%
"
                    Justin Mann",Charlotte Fencing Academy,44,58,43.1%,31,44,41.3%,13,14,48.1%
"
                    Lyn Christian",Denver Fencing Center / Schoolhouse Fencing,82,100,45.1%,69,74,48.3%,13,26,33.3%
"
                    Alexander Pi",PDX Fencing,396,233,63.0%,279,168,62.4%,117,65,64.3%
"
                    Aiden J Tse",Halberstadt Fencers' Club,284,116,71.0%,190,74,72.0%,94,42,69.1%
"
                    Yeriel Lee",Battle Born Fencing Club / Battle Born Fencing Club,151,157,49.0%,118,117,50.2%,33,40,45.2%
"
                    Luona Wang",Birmingham Fencing Club,-,-,-,-,-,-,-,-,-
"
                    Ram Venu",Salle Auriol Seattle,339,325,51.1%,257,245,51.2%,82,80,50.6%
"
                    Alex Huang",Lilov Fencing Academy,814,181,81.8%,511,106,82.8%,303,75,80.2%
"
                    Julian Sanders",Renaissance Fencing Club / Renaissance Fencing Club,14,18,43.8%,11,14,44.0%,3,4,42.9%
"
                    Trent Barton",Torrance Fencing Club,24,27,47.1%,18,20,47.4%,6,7,46.2%
"
                    Riley Anderson",Manchen Academy Of Fencing,168,127,56.9%,124,89,58.2%,44,38,53.7%
"
                    Quinn Peck",Bucks County Academy Of Fencing - West,108,102,51.4%,76,77,49.7%,32,25,56.1%
"
                    David Johanson",Denver Fencing Center / Mile High Fencing Club,78,82,48.8%,61,59,50.8%,17,23,42.5%
